ID;Site_name;Longitude;Latitude;Power;Uplink_1;Uplink_2;Uplink_3;Uplink_4;Uplink_5;Uplink_6;Downlink_1;Downlink_2;Downlink_3;Downlink_4;Downlink_5;Downlink_6;Azimuth;Tilt;Height
20609;M_4G_OTACI_OTCEN4G;27.78680556;48.44330556;19.8;703;708;713;718;723;728;758;763;768;773;778;783;320;1;20
20611;M_4G_OTACI_OTCEN4G;27.78680556;48.44330556;19.8;703;708;713;718;723;728;758;763;768;773;778;783;130;0;20
19296;M_4G_OTACI_OTCEN1L;27.75680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;130;0;20
19294;M_4G_OTACI_OTCEN1L;27.75680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;200;0;20
20613;M_4G_OTACI_OTCEN4G;27.78680556;48.44330556;19.8;703;708;713;718;723;728;758;763;768;773;778;783;200;0;20
19298;M_4G_OTACI_OTCEN1L;27.75680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;320;2;20
20614;M_4G_OTACI_OTCEN4G;27.78680556;48.44330556;19.8;703;708;713;718;723;728;758;763;768;773;778;783;320;2;20
19032;M_4G_OTCEN8_L1;27.78680556;48.4433;19.2;703;708;713;718;723;728;758;763;768;773;778;783;130;0;20
19033;M_4G_OTCEN8_L1;27.78680556;48.4433;19.2;703;708;713;718;723;728;758;763;768;773;778;783;200;0;20
19034;M_4G_OTCEN8_L1;27.78680556;48.4433;19.2;703;708;713;718;723;728;758;763;768;773;778;783;320;2;20
19025;M_4G_OTCEN_L1;27.78680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;130;0;20
19026;M_4G_OTCEN_L1;27.78680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;200;0;20
19027;M_4G_OTCEN_L1;27.78680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;320;1;20
22198;M_4G_PERESECINA_PERMT3G;28.77855278;47.24721667;19.15;703;708;713;718;723;728;758;763;768;773;778;783;240;5;20
22199;M_4G_PERESECINA_PERMT3G;28.77855278;47.24721667;19.15;703;708;713;718;723;728;758;763;768;773;778;783;340;4;20
22087;M_4G_PERESECINA_PERMT3G;28.77855278;47.24721667;19.15;703;708;713;718;723;728;758;763;768;773;778;783;240;5;20
22089;M_4G_PERESECINA_PERMT3G;28.77855278;47.24721667;19.15;703;708;713;718;723;728;758;763;768;773;778;783;340;4;20
22086;M_4G_PERESECINA_PERMT3G;28.77855278;47.24721667;16.52;703;708;713;718;723;728;758;763;768;773;778;783;340;3;20
22197;M_4G_PERESECINA_PERMT3G;28.77855278;47.24721667;16.25;703;708;713;718;723;728;758;763;768;773;778;783;340;3;20
870945;M_4G_PETRI4G_800;28.83269444;47.04383333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;115;9;14
870946;M_4G_PETRI4G_800;28.83269444;47.04383333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;200;10;14
870947;M_4G_PETRI4G_800;28.83269444;47.04383333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;290;10;14
20560;M_4G_PETRICANI_4PETR4G;28.79864167;47.05576389;20.4;703;708;713;718;723;728;758;763;768;773;778;783;70;3;24
20643;M_4G_PETRICANI_4PETR4G;28.79864167;47.05576389;20.4;703;708;713;718;723;728;758;763;768;773;778;783;70;3;24
20561;M_4G_PETRICANI_4PETR4G;28.79864167;47.05576389;22.7;703;708;713;718;723;728;758;763;768;773;778;783;325;2;24
20644;M_4G_PETRICANI_4PETR4G;28.79864167;47.05576389;20.4;703;708;713;718;723;728;758;763;768;773;778;783;325;2;24
127272;M_4G_PIELA4G;28.80266667;47.04208333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;160;6;32
658474;M_4G_PIELA4G;28.80266667;47.04208333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;160;6;32
658475;M_4G_PIELA4G;28.80266667;47.04208333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;260;5;32
